sub_id	list	species_code	Anthropogenic materials present? u=unsure (bad picture)   n=No  y=Yes	Picture orientation: t=top  b=bottom  s=side  t/s=top/side  b/s=bottom/side	Where are the AMs located? o=outer part of nest  l=lining  o/l=Both	attempt_id	sumphotos	user_id	loc_id	latitude	longitude	subnational1_code	height_m	substrate_code	habitat_code_1	habitat_code_2	proj_period_id	outcome_code_list	first_lay_dt	hatch_dt	fledge_dt	clutch_size_host_atleast	young_host_total_atleast	young_host_fledged_atleast	eggs_host_unh_atleast	obs_dt	eggs_host_atleast	eggs_host_atmost	young_host_live_atleast	young_host_live_atmost	young_host_dead_atleast	young_host_dead_atmost	nest_status_code	mgmt_activity_code_list	adult_activity_code_list	young_host_max_devel	eggs_parasite_atleast	eggs_parasite_atmost	young_parasite_live_atleast	young_parasite_live_atmost	young_parasite_dead_atleast	young_parasite_dead_atmost
S56486204		grycat				A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	19MAY2019:00:00:00.000000	0		0		0		cn	no	aa	no	0		0		0	
S56626974	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/05/21/5DB0A12E-59A9-4C27.jpeg	grycat	n	t		A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	21MAY2019:00:00:00.000000	1		0		0		cn	no	no	no	0		0		0	
S56660880	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/05/23/693E99A4-102D-4D0D.jpeg	grycat	n	t		A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	23MAY2019:00:00:00.000000	3		0		0		cn	no	aa	no	0		0		0	
S56768041	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/05/26/CD9CB1F4-9BC7-486C.jpeg	grycat	n	t/s		A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	26MAY2019:00:00:00.000000	4		0		0		cn	no	no	no	0		0		0	
S56915481		grycat				A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	30MAY2019:00:00:00.000000	4		0		0		cn	no	va	no	0		0		0	
S56999234		grycat				A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	02JUN2019:00:00:00.000000	4		0		0		cn		va	no	0		0		0	
S57102742	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/05/0542C9D5-764D-4C16.jpeg	grycat	n	t		A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	05JUN2019:00:00:00.000000	2		2		0		cn	no	va	ny	0		0		0	
S57178355	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/07/B560886E-9DC0-4451.jpeg	grycat	n	t		A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	07JUN2019:00:00:00.000000	1		3		0		cn	no	va	ny	0		0		0	
S57391329	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/12/DDCD9E50-F36D-4404.jpeg	grycat	n	t		A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	12JUN2019:00:00:00.000000	0		3		0		cn	no	va	py	0		0		0	
S57391421	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/15/AD413CE8-07A6-4351.jpeg	grycat	n	t		A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	15JUN2019:00:00:00.000000	0		3		0		cn	no	va	fy	0		0		0	
S57490134	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/17/IMG5131.JPG	grycat	u	s		A1349235	8	USER467984	L9298907	39.736757	-75.656908	US-DE	1.8288	other	NW-ry	NW-ry	NW_2019	s1	21MAY2019:00:00:00.000000	05JUN2019:00:00:00.000000	16JUN2019:00:00:00.000000	4	3	3	1	17JUN2019:00:00:00.000000	0		1		0		cn	no	va	fy	0		0		0	
S56876374		grycat				A1351506	1	USER331470	L9369359	43.001018	-75.224065	US-NY	0.9144	busshr	NW-ry	NW-ag	NW_2019	f1	28MAY2019:00:00:00.000000			3	0	0	0	29MAY2019:00:00:00.000000	3		0		0		cn	no	va	no	0		0		0	
S57050462		grycat				A1351506	1	USER331470	L9369359	43.001018	-75.224065	US-NY	0.9144	busshr	NW-ry	NW-ag	NW_2019	f1	28MAY2019:00:00:00.000000			3	0	0	0	03JUN2019:00:00:00.000000	1		2		0		cn	no	aa	ny	0		0		0	
S57107970	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/05/DSCN6569.JPG	grycat	n	t		A1351506	1	USER331470	L9369359	43.001018	-75.224065	US-NY	0.9144	busshr	NW-ry	NW-ag	NW_2019	f1	28MAY2019:00:00:00.000000			3	0	0	0	05JUN2019:00:00:00.000000	0		3		0		cn	no	aa	ny	0		0		0	
S57226865		grycat				A1351506	1	USER331470	L9369359	43.001018	-75.224065	US-NY	0.9144	busshr	NW-ry	NW-ag	NW_2019	f1	28MAY2019:00:00:00.000000			3	0	0	0	09JUN2019:00:00:00.000000	0		0		2		cn	nm	no	no	0		0		0	
S57513358	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/17/IMG4665.jpg	grycat	n	t		A1355513	1	USER1346602	L9498092	44.20944	-69.077927	US-ME	0.6096	busshr	NW-ry	NW-ry	NW_2019	s1		15JUN2019:00:00:00.000000	24JUN2019:00:00:00.000000			3		17JUN2019:00:00:00.000000			3				cn	no	aa	ny						
S57513381		grycat				A1355513	1	USER1346602	L9498092	44.20944	-69.077927	US-ME	0.6096	busshr	NW-ry	NW-ry	NW_2019	s1		15JUN2019:00:00:00.000000	24JUN2019:00:00:00.000000			3		19JUN2019:00:00:00.000000			3				cn	no	fa	py						
S57674617		grycat				A1355513	1	USER1346602	L9498092	44.20944	-69.077927	US-ME	0.6096	busshr	NW-ry	NW-ry	NW_2019	s1		15JUN2019:00:00:00.000000	24JUN2019:00:00:00.000000			3		22JUN2019:00:00:00.000000			3				cn	no	aa	py						
